"Name","Botanical_Name","System_Affected","Properties","Description","Origin","Notes","Toxicity","Dosage","Type"
"Allspice","Pimenta Officinalis","digestion, diarrhea","good for digestion¤gas, indigestion, diarrhea","a spice","","used in cooking","none","","Herb"
"Angelica (European)","Angelica Archangelica","gas, lungs, liver/spleen, eyes/ears, sores, gout","reduce gas in intestines, increase urine production (from ¤effect on kidneys).¤promotes persperation¤excellent for heart, lungs, coughs, shortness of breath.¤heart burn¤opens tiny passages of liver, spleen.¤relieve dim vision and hearing by placing drops into eyes ¤& ears¤psoriasis¤relieves toothache¤sores¤gout(apply directly to area)¤angina¤indigestion, stomach cramps,appetite","member of carrot family","","","","","Herb"
"Anise (Sandwort)","Pimpinella Anisum","gas, stimulant, asthma, breathing, aphrodisiac","very good for gas, check pain in bowels due to ¤over-distention by gas.¤inhaling, or absorbing into body, the oil has stimulating ¤effect.¤erection problems¤stimulates vital organs¤asthma¤bad breath¤promotes lactation¤expectorant, antiviral¤effects similar to estrogen, female sex drive","a spice","","used as a spice","none","1oz powder to 1 pint water","Herb"
"Arthritis Tea","","arthritis","arthritis","","","","","","Herb"
"Barberry","Berberis Vulgaris","liver, skin, arthritis, digestion, pain","good for arthritis, digestion, stomach, skin¤very good for liver, spleen¤typhoid fever, diarrhea, indegestion¤pain,soreness, burning along bileducts, urinary tracts¤bronchial secretions, tuberculosis¤syphilis, antiseptic¤Ventricular Arrhythmia¤Avoid during Pregnancy","bark, berry, rootbark of shrub","","taken as a drink","large doses= diarrhea w/ stomache pain","","Herb"
"Bay Leaf (Bay Laurel)","Laurus Nobilis","digestion, varicose veins, diabetes, headache","very good for digestion¤excellent for varicose veins¤diabetes¤headache, migraine¤tooth decay","","","","","","Herb"
"Bergamont","Citrus Bergamotia","nerves","excellant for nerves","","","","","","Herb"
"Blackberry","Rubus Villosus","diarrhea, dysentery, astringent","excellent for diarrhea, dysentery¤astringent, tonic¤vision¤tonsillitis","fruit, bark, root, leaves","","","","","FruitVeggy"
"Blueberry","Vaccinium, various species","eyes, bladder, intestine, Multiple Sclerosis","excellent for eyes¤source flavanoids, antioxidants.¤bladder infections, diuretic, diarrhea¤Alpine Blueberry: intestine¤MS¤blood clots¤ulcers","","","","none","","FruitVeggy"
"Blue Cohosh","Caulophyllum Thalictroides","bites/stings, menstrual, labor","bites/stings¤menstrual¤Amenorrhea¤Induces labor (discuss w/ doctor for advice)¤abdominal and urinary problems","","North America","","too much during labor could loose baby","","Herb"
"Blue Flag (Snake Lily)","Iris Versicolor, Iris Virginica","blood, arthritis, skin, immunity, worms","very good blood purifier, liver, skin, syphilis, rheumatism¤arthritis, skin, heal wounds, ulcers¤immune system, colic¤increase urine flow & thus eliminate poisons F/ blood¤Relieve whitish discharge F/ female genitalia¤coughs, headaches¤Inhaling: induces sneezing¤piles, hemorrhoids¤dropsy, thyroid, lymphatic, clean intestines¤intestinal worms","stem & root","N. america","","","","Herb"
"Blue Violet","Viola, various species","headache, sinus, varicose veins","excellent for headache, sinus, lungs¤varicose veins¤viral infections","","","","none","","Herb"
"Boldo","Peumus Boldus","digestion, gall bladder, liver,diuretic,antiseptic","excellent for liver & gall bladder, urinary tract¤diuretic¤antiseptic¤digestion","leaf of small evergreen shrub","South America, Chile","","","","Herb"
"Boneset","Eupatorium Perfoliatum","colds/flu, persperation, skin, fever","produce persperation (diaphoretic)¤excellent for colds and flu, chest, fever, influenza, ¤coughs¤tonic (strengthens tissue), enhances immune system¤Skin diseases (external salve)","","eastern North America","taken hot for persperation, cold for tonic","contains Pyrrolizidine Alkaloids","not recommended for long-term use","Herb"
"Borage (Burrage)","Borago Officinalis","lungs, diuretic, skin, Raynaud's","very good for lungs, fever¤diuretic, kidney¤External: skin/mucous softener, Raynaud's Disease","leaves of herb","","also called: Herb Of Gladness","none","add to salads or tea","Herb"
"Buchu","Agathosma Betulina, Agathossma Crenulata(oval Buchu)","urinary,kidney, bladder, water retention, prostate","excellent for kidney, bladder, water retention, urinary ¤stones¤increases urine flow¤bronchitis, indigestions, skin, rheumatism, dropsy¤early stage diabetes¤chronic diseases of genito-urinary mucous membrane ¤(prostatis, etc.).¤vaginal discharge","leaf of low shrub","S. Africa","","vomiting, difficult urination","10-20 drops tincture w/ 1 glass water","Herb"
"Buckthorn Bark","Rhamnus Catharticus","constipation","excellent for constipation","","","","","","Herb"
"Butternut Bark","","colds/flu, constipation, liver","very good for colds/flu¤constipation¤liver","","","","","","Herb"
"Cancer Bush","Sutherlandia Frustescens","cancer, fever, stomach, diarrhea, chicken pox","cancer¤fever, chicken pox, flu, rheumatism, hemorrhoids¤diarrhea, stomach, liver¤Excellent wash for wounds","bitter leaves of shrub","South Africa","","","","Herb"
"Calendula (Pot Marigold)","Calendula Officinalis","skin, burns, cuts, bites/stings, ulcer","burns, cuts, bites, stings, bruises¤bunions¤antiviral, antibacterial, antifungal, anti-inflammatory¤gingivitis¤ulcers¤External (rubbed on): skin, relief of pain & swelling from ¤wasp/bee sting, sores","flower","","external: apply directly, 2-3 Xs/day for ~ 1 week","triggers ragweed allergies","","Herb"
"Catnip","Nepeta Cataria","gas, colds, fever, nerves, refrigerant, sedative","stomach, intestinal gas, abdominal pain (2 tbl (2-3 tsp ¤for children) in 1 pint water internally, or as external ¤enema for large intestine)¤Produces perseration for colds.¤tissue tonic, refrigerant (relieve thirst, fever)¤soothing nerves, mild sedative¤Externally: Possible insect repellant (proven vs ¤cockroaches)","","","","","","Herb"
"Celery","Apium Graveolens","colon, kidney/bladder, arthritis, nerves, blood","excellent for colon¤good for kidney/bladder, arthritis, nerves, rheumatism¤flatulence¤aphrodisiac¤possibly liver, swellings in body cavities¤Cardiac arrhythmia, high blood pressure, high cholesterol","leaf and seed","","","none","","FruitVeggy"
"Chervil","","blood pressure, water retention","very good for blood pressure¤water retention","","","","Avoid during Pregnancy","","Herb"
"chicory","Cichorium Intybus","digestion, kidney, bladder, liver, lungs","very good for digestion, kidney, bladder, liver (can ¤detoxify acetaminophen liver poisoning)¤diuretic, laxative¤lungs¤slows rapid heartbeat, mild heart-stimulating effect (like ¤digitalis but safe)","roots of wildflower","","also caled: False Boneset","none","ground roots can be mixed with coffee","Herb"
"Cinnamon","Cinnamomum, Zeylanicum","digestion,diarrhea,nausea,bites/stings,anti-fungal","excellent for bites/stings¤very good for digestion, diarrhea, nausea, vomiting, ¤stomach¤intestinal gas¤astingent, reduce tissue discharge, stimulate body organs¤anti-fungal¤erection problems¤Chinese Cinnamon: chest","tree bark","","a spice","none","","Herb"
"Cleavers (Clivers)","Galium Aparine","kidney/bladder, skin, blood, wounds, ear","inflamation of kidney/bladder¤produces persperation to help fevers¤mild laxative¤Stops wound bleeding, liver, cleanses blood¤Skin, makes excellent wash to clear face's complexion, ¤cools skin¤Juice stops bleeding (apply directly), powdered root ¤speeds healing, open ulcers¤juice in ear stops earache¤as a tea dissolves bladder stones","hardy vines","England","","","1oz of herb to 1 pint hot water","Herb"
"Colombo Root","","blood pressure, colon","excellent for blood pressure, colon","","","","","","Herb"
"Coriander (Cilantro)","Coriandrum Sativum","digestion, heart, odor/breath","excellent for heart, digestion¤bad breath¤body odor (powder and rub into underarms)","","","used as a spice","none","","Herb"
"Cubeb Berry (Tailed Pepper)","Piper Cubeba","kidney/bladder, intestinal parasites, anus","excellent for kidney, bladder¤amebic dysentery¤anus","","","spice related to black pepper","","","Herb"
"Dill Weed","Anethum Graveolens","digestion, bad breath, Amenorrhea","digestion, colic, gas, heartburn¤Amenorrhea (period problems)¤bad breath, rich in chlorophyll","","","","don't overuse medicinally if pregnant","","Herb"
"Elder (Elderberry)","Sambucus Nigra","colds/flu, breast, skin; foot, leg","colds, cough, fever, and flu¤viral infections, possible HIV treatment¤tonsillitis¤American Elder: breast, skin¤Red Elderberry: foot, leg","","","","","","Herb"
"Elecampane","Inula Kelenium","asthma, coughs, amebicidal, throat","excellent for asthma, coughs. laryngitis¤antiseptic expectorant, emphysema¤intestinal amoebas","root of flower","","","","1-2 tsp dried/crushed to 1 cup hot water","Herb"
"Taurine","","UV protection","protects cells from UV light","","","","","","Amino Acid"
"N-acetylcysteine","","eyes, antioxidant","antioxidant¤prevent cataracts¤eyes","","","","","","Amino Acid"
"Arnica (Mountain Daisy),Europ.","Arnica Montana","sports injuries, bruises, disinfectant","stimulant for organ activity¤applied directly to wounds, bruises, swellings, bunions, ¤burns.¤disinfectant","","Switzerland","also known as Mountain Daisy","do NOT take internally- poisonous","","Herb"
"Poppy (California)","Eschscholzia Californica","asthma, stress, sleep, digestion","asthma, stress relief, toothache¤sleep, anxiety¤digestion","","","","","","Herb"
"Eleuthero (Siberian Ginseng)","Eleutherococcus Senticosus","asthma, allergy, energy, adrenal","similar healing properties to true ginseng¤lack of energy¤adrenal weakness¤severe allergy¤asthma","","","","MAO Inhibitor","","Herb"
"Eucalyptus","Eucalyptus Globulus","sinuses, throat, antiseptic, skin ulcers, fevers","sinus infection, bad breath¤inhaled for sore throat, bacterial lung infections, ¤asthma, bronchitis, emphysema, TB¤colds¤stimulant¤antseptic, antiviral¤local application for ulcers & cancerous growths¤fevers, muscular spasms¤eliminates offensive odors (like from sores, open wounds)¤croup & spasmodic throat troubles (internal & external use)¤External: pain (best used with lavender and peppermint)","tree bark, leaves","the tree","can be inhaled or imbibed as a tea (from leaves)","(internal use)indegestion,nausa,diarrhea","","Herb"
"Grindelia","","sinus, cough, poison oak","coughs, asthma¤poison oak","","","","","","Herb"
"Lavender","Lavandula, various species","fever, nausea, flatulence, burns, stress, insomnia","depression, headache, fever¤flatulence¤burns, stress¤pain¤Externally (inhaled): fainting, insomnia (as oil in warm ¤bath or sprinkled on clothes), psoriasis and skin (as ¤essential oil)¤External (as douche): vaginitis","","","","non-addictive narcotic","","Herb"
"Marshmallow","Althaea Officinalis","throat,asthma,diarrhea,cystitis,diabetes,bladder","cough, sore throat, bronchitis, laryngitis¤diarrhea, intestines, indigestion¤cystitis¤kidney/bladder¤Amenorrhea¤diabetes, rich in pectin¤skin problems (as an ointment)¤wounds (as a poltice)","","","also called: sweet root, althea, wymote","","","Herb"
"Speedwell","Veronica Officinalis","skin, coughs","infusion: coughs, catarrh¤lotion:  skin eruptions, slow-healing wounds","low creeping herb","","","","","Herb"
"Peppermint","Mentha Piperita","colds,fever,stomach,burns,poison oak,sinus, pain","colds, flu, fever, emphysema, sinusitis¤stomache ache, flatulence, heartburn, morning sickness, ¤nausea¤poison oak, burns, scabies¤navel, hives¤gall & kidney stones¤antioxidant, diseases associated with aging¤gingivitis, tooth decay, bad breath¤backache, earache, headache (rub on temples), pain","","","Also used as a flavoring","none","","Herb"
"Plantain (Ripple Grass)","Plantago Major","cough, cuts, hemorrhoids, skin, excretory organs","Externally (apply fresh leaves direct):¤cooling effect on body, burns, sunburn¤stops bleeding from minor wounds¤cuts, bites, stings, rash from Stinging Nettle¤skin, dandruff¤Itching from poison ivy (apply as poultice)¤Internally:¤coughs, chest, lung, laryngitis, sore throat¤hemorrhoids, diarrhea¤bladder, kidney, liver¤nipple¤weight-loss","leaves of herb","","","","Internally:1oz/1 pint boiling water, 1/2 cup,2/day","Herb"
"Shiitake","Lentinus Edodes","immunity, tumors, viruses, cholesterol","immunity weakness¤lowers cholesterol¤anti-tumor, anti-viral¤immune stimulating","mushroom","Asia","contains lentinan","","","Herb"
"Tea Tree Oil","Melaleuca, various species","yeast infection, cuts, skin, antiseptic, dandruff","yeast infection, vaginitis¤anti-bacterial, antiseptic, anti-fungal; cuts, bites, ¤stings, parasites, scabies¤burns, bruises, herpes, skin moisturizer¤athlete's foot¤dandruff¤ears¤gingivitis & canker sores (but don't swallow)","","","apply externally for all uses","fatal at even a tsp or so.","External application only","Herb"
"Usnea","","colds, throat, sinus, bladder cystitis, cuts","throat, sinus, colds¤cuts, bites, stings¤bladder cystitus","","","","","","Herb"
"Eyebright","Euphrasia Officinalis","eyes","excellent for eyes¤astringent","","","","","1tsp dose: 1 part eyebright to 1 part golden seal","Herb"
"Gentian Root","Gentiana Officinalis, Gentiana Lutea","liver, menstrual, circulation, colds, digestion","circulation¤colds,flu, fevers¤digestion, ulcers, general debility, female weakness, ¤hysteria.¤excellent for liver¤menstrual problems¤nerve tonic¤ears¤heartburn (take 30 mins before meal)¤hypothyroidism","herb w/ orange-yellow flowers","Europe","","","1tsp/cup water","Herb"
"Joe-Pye Weed (Gravel Root)","Eupatorium Purpureum","kidney, bladder, sweating","kidney, bladder¤induces sweating to break fevers","tall, rosy-purple flowers","Eastern U.S.A.","also called: Queen Of The Meadow","","","Herb"
"Hibiscus","","digestion, kidney, bladder, chest cold","digestion, intestine¤kidney, bladder¤beach hibiscus: sore throat, chest, lung; skin","","","","","","Herb"
"Horehound","Marrubium Vulgare","coughs, heart, ulcers, menstruation, kidney","excellent for coughs, bronchial, pulmonary diseases¤laryngitis¤heart, kidney, cardiac arrhythmia¤slight laxative, menstral aid¤antidote to poisons, stinging, biting.¤ulcers, running sores¤juice w/ wine or honey clears eyesight (or inhaled cleans ¤yellow jaundice), skin (external w/ vinegar)¤Black Horehound: stimulant, vermifuge, menstruation, ¤morning sickness, nervous vomiting","dried leaves, flowering tops","","","","4oz herb per 2 pints water","Herb"
"Hydrangea Root, American","Hydrangea Arborescens","arthritis, kidney, bladder","excellent for arthritis¤kidney, bladder","","","","","","Herb"
"Hyssop","Hyssopus Offucinalis","asthma,blood pressure,eyes,excretory,bruises,HIV","excellent for asthma, blood pressure¤eyes, liver, yellow jaundice¤coughs, colds, pulmonary tuberculosis¤w/ pickled figs cleans intestinal tract, reduces lymphatic ¤fluid¤bruises, cuts (apply direct w/ wine & warm water)¤epileptics¤general body cleaner¤HIV¤¤Hyssop-leaf Thoroughwort: bladder, kidney, skin, uterus, ¤stomach","whole plant, but usually leaf","europe, mid east","","","","Herb"
"Juniper Berry","Juniperus Communis","diabetes, immune, kidney/bladder, disinfectant","excellent for diabetes, immunity, shortness of breath¤antiviral¤Kidney/bladder stimulant(unless have nephritis), urinary ¤blockage¤dropsy, digestion/stomach,gonorrhea, leucorrhea ¤Disinfectant (spray w/ solution or chew for mouth) vs ¤bacteria/fungus; Aphrodisiac, scurvy, coughs¤skin, sciatica, strengthens limbs, hemorrhoids, worms¤gin flavoring¤prostate","berries of low evergreen tree","","","Avoid during Pregnancy","infusion: soak & boil in water 1/2hr, take 4Xs/day","Herb"
"Malva Flower","","colds, ears","colds, flu¤ears","","","","","","Herb"
"Marjoram","Origanum Onites","digestion, pain, colic","excellent for digestion, pain¤colic in infants¤upset stomach, diarrhea, headache, cough¤As a gargle: mouth and throat","","","used as a spice, or sometimes in tea","none","","Herb"
"Motherwort","Leonurus Cardiaca","colds, menstrual, nerves, heart","colds, flu¤excellent for menstrual¤nerves, nervous tension¤heart problems, cardiac arrhythmia","","","","","~1/2oz per 3 cups boiling water for heart","Herb"
"Mugwort","Artemisia Vulgaris","arthritis, gout, menstrual","arthritis¤gout¤excellent for menstrual","","","","Avoid during Pregnancy","","Herb"
"Mullein","Verbascum Thapsus","asthma, lungs, respiratory, ear, throat","Mullein Flower: ear¤Mullein Leaf: excellent for asthma, lungs, sinus¤expectorant, bronchitis, coughs, emphysema¤soothes throat, laryngitis, bactericidal activity¤arthritis","","","","","","Herb"
"Mustard Seed","Brassica Nigra, Sinapis Alba, others","digestion, hypothyroidism, pain soother","digestion¤hypothyroidism¤external (as a plaster): sciatica, decongestant, ¤arthritis, lumbago, rheumatism","","","","none","","Herb"
"Oregano Leaf","Origanum Vulgare","colds, digestion, antioxidant, expectorant, HIV","colds, flu¤digestion¤potent antioxidant, glaucoma, HIV¤arthritis¤antibacterial¤expectorant, emphysema","used in cooking","","","none","","Herb"
"Papaya","Carica Papaya","digestion, liver, worms, warts","excellent for digestion, heartburn¤liver¤worms¤warts (apply juice directly)","","tropics","","none","","FruitVeggy"
"Parsley","Petroselinum Crispum","circulation,internal organs,bad breath,hives,bones","liver, kidney, bladder¤circulation¤bad breath¤breast tenderness¤diuretic, kidney stones¤hives, inhibits secretion of histamine¤estrogen replacement¤bones, osteoporosis¤Stimulate labor contractions (use as parsley juice)¤Applied Externally: clears up bruises","","","","","","Herb"
"Patchouly (Patchouli)","Pogostemon Patchouli","digestion","digestion¤¤Used in perfumes anbd soaps in the Orient¤Leaves used in potpourris and sachets","","","","","","Herb"
"Pau d'Arco","Tabebuia, various species","immunity, fungus, yeast","immune system¤Externally: anti-fungal, yeast infections (genital candida)","","Latin America","","","","Herb"
"Pennyroyal(American,European)","Mentha Pulegium or Hedeoma Pulegioides","gas, lungs, skin, stomach, insect repellent","gas¤lungs¤skin, insect repellent (external)¤stomach¤¤American: scabies, itching","","","","Avoid during Pregnancy","","Herb"
"Periwinkle","Vinca minor","diarrhea, nerves, throat","diarrhea, stomach¤hemorrhages¤nerves¤throat¤astringent, sedative","","","","","","Herb"
"Prickly Ash Bark","Zanthoxylum Clava-Herculis","arthritis, blood, digestion, throat, skin","blood purifier, circulation¤digestion¤arthritis¤throat¤skin diseases, varicose veins¤rheumatism","","","","","","Herb"
"Prince's Pine","","arthritis, kidney, water retention","arthritis¤kidney, bladder¤water retention¤skin","","","","","","Herb"
"Red Raspberry","Rubus Idaeus","woman problems, diarrhea, fertility, nausea, PMS","menopause, menstrual¤diarrhea¤Raspberry Leaf (tea): calm uterine irritability in ¤pregnant women, male infertility, menstrual cramps, ¤morning sickness, motion sickness, PMS","","","","none","","FruitVeggy"
"Rhubarb Root","Rheum Officinale","constipation/diarrhea, nerves, mild laxative","cleanses entire intestinal canal¤constipation, diarrhea¤stomach tonis, improving digestive organs, creates appetite¤very mild laxative¤hemorrhoids¤ulcers¤nerves¤toothache (make into tincture)¤The astringent effect may be avoided by taking 1tsp olive ¤oil at night","roots of plant","Turkey, India, England","","none","1 gram-15grains, smaller for diarrhea","Herb"
"Safflower","Carthamus Tinctorius","gout, heart, skin","gout¤heart¤skin¤lowers cholesterol¤vasodilator (opens up blood vessels), stimulates hair ¤follicles in scalp (massage in)","","","used in cooking","none","","Herb"
"Saffron","Crocus Sativus","arthritis, colds, digestion, blood pressure","gout, digestion¤colds, flu¤arthritis¤lowers blood pressure","the stigma of the flower","","a (very expensive) spice","none","","Herb"
"Sanicle (Butterwort)","","blood, lungs, stomach","blood purifier¤lung¤stomach","","","","","","Herb"
"Sassafras","Sassafras Officinale","blood, liver, kidney, eye, teeth, spasm,antiseptic","blood purifier¤kidney, liver, skin infections, varicose vein ulcers¤eyes, rheumatism, gout, syphilis¤Stimulant, destroys certain protozoa, increases ¤persperation¤Toothaches¤relieves spasms (take warm)¤repells ants, antiseptic spray for nose & throat¤Used as a spice.","bark of tree root","","Sassaras Albidum has possible liver and kidney toxicity","none","1oz bark/pint hot water, or 1-5 drops oil","Herb"
"Scullcap (Skullcap, Madweed)","Scutellaria Lateriflora","nerves, heart, sedative","tonic for almost all nervous system disorders¤sedative, irritability (including for PMS)¤hysteria, convusions, St. Vitus' Dance¤hydrophobia, rabies¤slightly astringent¤heart¤¤solution: 1oz herb in 1 pint hot water","powdered herb","","","","1tbl 5-6Xs/day","Herb"
"Senna","Cassia Senna","constipation, bowel cleanser","constipation, more purgative than a laxative, bowel ¤cleanser¤¤Infusion: 2oz in 1 pint hot water, stand 1hr, strain, dose ¤is 1 glass every few hrs (may add 1/8oz ginger)¤Tea: make as infusion, may add rhubarb, casvara bark, ¤anise, jalap root, or licorice root","leaves of low shrub","Africa (upper/mid Nile),India","take as infusion or tea","Avoid during Pregnancy","","Herb"
"Shepherd's Purse","Capsella Bursa-Pastoris","diarrhea, eyes, post-labor, bleeding","excellent for diarrhea¤antioxidant, vision, glaucoma¤constricts blood vessels¤Use (40-60 drops tincture) after giving birth to stop ¤bleeding","","","","","","Herb"
"Grape Seed Root","Vitis Vinifera","arthritis, blood","blood purifier¤arthritis","","","","","","Herb"
"Solomon's Seal","Polygonatum Biflorum","skin, stomach, lungs, insomnia","skin, rheumatism, arthritis¤laxative, upset stomach¤excessive menstruation¤general debility¤lung problems, cough¤insomnia","","North America","","","","Herb"
"Spearmint","Mentha Spicata","digestive functions, nerves","digestion, kidney/bladder, gas, stomach¤nerves","","","","","","Herb"
"Speedwell,Garden","Veronica Longifolia","headache, lungs, throat","excellent for sinus, lungs, asthma, throat¤headache","","","also called: European Tea, Sweet Root","","","Herb"
"Squaw Vine (Partridgeberry)","Mitchella Repens","eyes, kidney, water retention, breast feeding","excellent for kidney, bladder, water retention¤eyes¤Menstrual cramps, ease childbirth, nipple soreness from ¤nursing (boil 2oz in 1 pint water, add 1 pint heavy cream, ¤apply as salve after nursing)","","","also called: Checkerberry","","","Herb"
"Strawberry","Fragaria, various species","diarrhea, digestion, kidney, blood, menopause","diarrhea, digestion¤bladder, blood¤kidney (for virginia strawberry)¤menopause, cramps","","","contains boron (good for circulating estrogen)","","","Herb"
"Sumach Berry (Sumac)","Rhus Aromatica","colon, excretory, gums, skin","colon¤bladder, kidney¤skin¤Evergreen Sumac: gums¤Sweet:  colds, bleeding, stomachaches, grippe","","","","","","Herb"
"Summer Savory","","diarrhea, digestion","diarrhea, digestion","","","","","","Herb"
"Uva Ursi (Bearberry)","Arctostaphylos uva-ursi","fluid control, digestion","kidney, bladder, water retention¤diuretic and antiseptic properties¤digestion","","","","","","Herb"
"Vervain","Verbena Officinalis","colds, pain, gall bladder, liver, skin, uterus","colds, flu¤pain¤gall bladder, liver¤skin¤uterus¤digestive aide, sedative¤aphrodisiac","","","used in Chinese medicine","","","Herb"
"Oak Bark (White, Black, Live)","Quercus, various species","hemorrhoid, kidney, veins, eyes, head","Black, White, and Live Oak: eyes, diarrhea¤White Oak:  hemorrhoid, kidney, bladder, varicose veins, ¤menstrual problems, gargle for sore throat","","","","","","Herb"
"Willow, White","Salix, various species","arthritis, digestion, pain","arthritis, pain, backache, gout¤digestion¤Alzheimer's, stroke¤The bark is the original source of aspirin¤heart attack prevention¤fever, cold, flu¤hangover¤Externally: bunions, corns, warts","","","contains Salicin","","","Herb"
"Wild Alum Root","","diarrhea","diarrhea","","","","","","Herb"
"Cherry, Wild","Prunus, various species","lungs, heart, colds","Wild: asthma, lungs, colds¤Wild, Black: gout (eat about 8oz per day for effect)¤Bitter: heart","","","rich in vitamin C","","","FruitVeggy"
"Wintergreen","Gaultheria Procumbens","heart, digestive system, skin, hangover","digestion, colon, gas¤heart¤pain¤hangover, headache¤sore throat¤externally as oil: calluses, corns, cysts, warts, pain, ¤sciatica, rheumatism","","","","swallowed oil can be fatal to children","","Herb"
"Witch Hazel","Hamamelis Virginiana","arthritis,bleeding,skin,sprains,throat,circulation","arthritis¤Stops bleeding from nose, stomach, lung, rectum, kidney¤sedative¤sore throat, excessive menstruation¤eyes, skin, sunburn¤sprains, bruises, varicose veins, cleans foul ulcerated ¤body parts¤circulation, diarrhea, hemorroids, varicoseveins, ulcers, ¤wrinkles, gonorrhea, leucorrhea.¤Used internally or externally","dried leaf of small tree","","","none","30 grains leaves, distilled extract, or enema","Herb"
"Wood Betony","Stachys Officinalis","digestive system, headache, excretory","liver, digestion, stomach¤headache¤bladder, kidney, spleen¤lungs","","","also called: purple betony, lousewort, betony","none; caffeine-free","use as a tea","Herb"
"Woodruff, Sweet","Galium Odoratum (Asperula Odorata)","insomnia, kidney, migraine","kidney, bladder¤insomnia¤migraine, nervous conditions¤stomach pain","","","","","","Herb"
"Wormwood","Artemisia Absinthium","nerves, digestion, worms","nerves¤stimulates apetite, improves digestion¤remedy for worms","","","","Avoid during Pregnancy","","Herb"
"Yarrow, Standard","Achillea Millefolium","colds, menopause, eye, skin","colds, flu, stomach, digestion¤circulation¤liver, gall bladder, kidneys¤menopause¤eye, skin¤menstrual cramps","white flower","","","","","Herb"
"Yerba Santa","Eriodictyon Californicum","respiratory, arthritis, colds, expectorant","colds, flu, asthma, laryngitis, bronchitis¤arthritis","","","","","","Herb"
"Pycnogenol","","flavonoids, antioxidant, anti-inflamatory, allergy","reduces blood-platelet clumping (a side effect of smoking)¤antioxidant (50 times more effectivre than Vitamin E)¤anti-inflamatory¤good vs allergies¤contains flavonoids","found in pinebark & grape seed","","brand name of French Maritime Pine bark extract","none","","Herb"
"Omega-3 Fatty Acid","","cardiovascular, brain, depression, blood","cardiovascular disease, blood pressure, blood platelet ¤clumping.¤brain development¤Low levels of Omega-3 may cause depression and learning ¤disability.","","fresh fish (deep sea)","","none","","Other"
"Himilayan Fir","","Bladder","Bladder","","","","","","Herb"
"Rosary-Pea","Abrus Precatorius","digestion system, chest, eyes, heart","bladder, kidney, stomach¤chest¤heart¤eyes","","","","","","Herb"
"Maidenhair (Venus' Hair)","adiantum capillus-beneris","bladder, respiratory, head","chest, lungs, sinus¤head¤bladder","","","","","","Herb"
"Coughgrass","Agropyron Repens","bladder","bladder","","","Names: cutch, dog grass, witch grass, quick grass","","","Herb"
"Pineapple","Ananas Comosus","bladder, arthritis, anti-inflamatory, MS","bladder¤digestion, ulcers, worms¤arthritis, ankylosing spondylitis¤anti-inflamatory, gout, MS, swelling¤autoimmune diseases¤rich in vitamin C and immune-boosting minerals¤bunions,weight loss,sinusitis¤prevents stroke¤external: skin, wrinkles, acne, chapped skin, skin peel ¤(in strong concentration), plantar warts","vine","tropics","contains Bromelain","none","","FruitVeggy"
"Peanut","Arachis Hypogaea","bladder, breast milk, diabetes, eyes","the papery skin contains OPCs: strengthens capillaries & ¤veins, heart disease, antioxidant.¤lowers cholesterol¤bladder¤promotes breast milk production¤reduces blood sugar levels (diabetes)¤eyes (diabetic retinopathy)¤Spanish Peanuts (w/ outer red papery membrane): varicose ¤veins, endometriosis, hormone-dependent cancers","","","","","","Herb"
"Poppy (Mexican Prickly)","","bladder, eyes, kidney, skin","bladder, kidney¤eyes¤skin","","","","","","Herb"
"Asparagus (Sparrow Grass)","Asparagus Officinalis","diuretic, heart, laxative, fluids","enlarged heart¤diuretic, kidneys, accumulation of excess fluids in ¤tissues & body cavities¤mild laxative, nervous sedative","","","","","","FruitVeggy"
"Marijuana (Cannabis)","Cannabis Sativa","bladder, ear","bladder¤ear","","","","addictive drug","","Herb"
"Love-In-A-Puff","Cardiospermum Halicacabum","bladder","bladder","","","","","","Herb"
"Silk Cotton Tress (Kapok)","","bladder, foot","bladder¤foot","","","","","","Herb"
"Velvet Leaf","","bladder, eye, kidney","bladder, kidney¤eye","","","","","","Herb"
"Arbutus, Trailing","Epigae Repens","bladder stones, astringent","bladder, bladder stones¤astringent¤taken when urine contains blood or pus","","","also called: Gravel Plant, Ground Laurel","","1oz leaves in 1 pint hot water, several times/day","Herb"
"Pichi","","organs","bladder, kidney¤liver","","","","","","Herb"
"Mango","","chest, eye, gum, digestion, uterus","bladder, stomach¤chest¤eye¤gum¤uterus","","a fruit","","none","","Herb"
"Lobelia (Indian Tobacco)","Lobelia Inflata","bladder, eye, ulcers, nerves, liver, vomiting","bladder¤Indian Tobacco: eye¤coughs, liver, Emetic (induce vomiting)¤fevers, heart, laryngitis, asthma¤Ulcers(mix w/ Slipper Elm for poultice on inflamation, ¤ulcer, etc)¤nervousness, brain tension (combine w/ Pleurisy Root if ¤needed)¤Internal Bath (1oz herb to 1 quart water, inject thru ¤rectum): when swallowing is difficult","herb & seeds","","also called: Gag Root, Vomit Wort, Emetic Weed","smoked: lung/throat cancer, addictive","","Herb"
"Pellitory (Pellitory-Of-The-Wall)","Parietaria judaica","bladder, stomach, kidney stones, anti-inflamatory","uriniary, cystitis, bladder, stomach¤kidney stones¤diuretic, anti-inflamatory","herb","Mediterranean","","","","Herb"
"Hart's TongueFern(Hartstongue)","","bladder, lungs, spleen","gravely deposites f/ bladder¤obstructions f/ spleen, liver¤lungs","","","","","tea: 2oz powdered herb/pint hot water, 2-3Xs/day","Herb"
